name,url,roster_fetched_at
Spring I/O 2026,https://2026.springio.net/speakers/,2026-06-26
Devnexus 2026,https://devnexus.com/speakers/,2026-06-26
jPrime 2026,https://jprime.io/speakers,2026-06-26
GeeCON 2025,https://2025.geecon.org/speakers/,2026-06-26
