login,name,is_fork,stars,pushed_at,head_sha,last_scanned_at
antonarhipov,agentskills,0,13,,,2026-06-26
antonarhipov,kotlinconf-sdd,0,12,,,2026-06-26
lordofthejars,java-migration-modernization-bob,0,14,,,2026-06-26
parttimenerd,jstall,0,46,2026-06-18T10:08:33Z,dd607ce9294885070ae7cbe70a6ca2848a3aa028,2026-06-26
victorrentea,performance-profiling,0,24,2026-05-26T18:43:26Z,e63aba2e3f35c54626f7d6ebfcf3cdfd8183b109,2026-06-26
ThomasVitale,agents-skills-oci-artifacts-spec,0,10,2026-04-02T14:28:00Z,98376c2a7e8d668dee9bf943d04d7a0214fd7097,2026-06-26
AdamBien,airails,0,28,2026-06-26T10:07:24Z,a7b592bdbc0311848fc0196b29482aad97313b21,2026-06-26
